Country,Date,life_exp,access_to_electricity,trade_in_services,foreign_investm,perc_overweigth,child_immunization,gdp_per_cap,net_primary_income,rural_population,primary_school_completion,armed_forces,measels_immunitization
Jamaica,2020,71.869,100.0,27.5444901693484,0.048453931748444,48.85332631067172,99.0,4897.26589668631,-454500192.411947,43.689,80.7924887939759,3961.8970524897595,93.0
Jordan,2020,75.184,98.8347702026367,12.6661522814774,0.059612173171829,71.74717067768665,76.0,4042.7693498462,-124408450.704225,8.58199999999999,81.6035690307617,113711.74310609492,76.0
Japan,2020,84.56,100.0,7.17893475817593,2.90029556959112,32.738740782756736,95.0,39918.1675583443,182779455432.866,8.218,102.68766133553527,262652.4152577,98.0
Kazakhstan,2020,71.37,100.0,7.98091312362597,0.800344961782566,56.330902412013984,93.0,9121.63713797145,-15072697835.0476,42.329,102.002799987793,80658.97435897426,93.0
Kenya,2020,62.675,62.6713409423828,6.93850726514817,-0.141535305247651,16.36592658617616,92.0,1936.42458891104,-1735487192.20523,72.005,102.16735293659121,31969.79361415212,88.0
Kyrgyz Republic,2020,71.8,100.0,13.267635831114,2.32475924329239,48.21912864975832,96.0,1182.52170043018,-256423045.247272,63.144,108.141807556152,23492.06349206355,92.0
Cambodia,2020,70.416,82.9139785766602,14.6567254409113,0.490912854304723,18.37972881722169,97.0,1577.91174726099,-1046796972.90084,75.768,91.9995574951172,221144.09559253883,84.0
Kiribati,2020,67.266,96.436897277832,28.9324823606646,0.0618328079822343,81.25696729060314,93.0,1430.55157354026,156636845.365082,44.406,93.4303970336914,158635.77210632665,82.0
St. Kitts and Nevis,2020,71.627,100.0,54.4647184617034,0.325190917084691,46.23260675796132,98.0,18566.0955863718,-13858185.1851852,69.157,104.47228953439014,158635.77210632665,95.0
"Korea, Rep.",2020,83.4268292682927,100.0,11.7898185940242,2.1183560283733,36.92892796369824,98.0,31721.2989141857,14355918810.8306,18.586,99.7209930419922,641598.7012843587,98.0
