Country,Date,life_exp,access_to_electricity,trade_in_services,foreign_investm,perc_overweigth,child_immunization,gdp_per_cap,net_primary_income,rural_population,primary_school_completion,armed_forces,measels_immunitization
Lithuania,2021,74.3390243902439,100.0,38.5734748655954,2.29866463709212,66.2799313939986,93.0,23723.3402510345,-2558237722.18988,31.751,103.16744014016649,36642.712096332805,88.0
Luxembourg,2021,82.7487804878049,100.0,316.320342133521,29.7032923585882,71.0261188990628,99.17130144605117,133590.146975586,-25813662089.5345,8.328,95.64799763160204,1755.1763315700518,99.0
Latvia,2021,73.2829268292683,100.0,25.9588748567896,6.71045925790832,63.47629581611443,96.0,21148.1629405415,-734149382.530996,31.579,104.54524436631357,5817.6505199781095,97.0
"Macao SAR, China",2021,85.399,100.0,74.7912191306163,13.4438475513593,37.71475299138376,99.23366703744904,43873.5911643329,741190431.57829,0.0,100.661743164063,11168.520799124235,86.59577308120134
St. Martin (French part),2021,80.379,100.0,75.8589223630119,0.154412831869813,37.71475299138376,99.23366703744904,0.0,-81659073.3686857,2.42700000000001,98.82117261864501,11168.520799124235,86.59577308120134
Morocco,2021,74.042,112.95850351013632,16.789515525953,0.353350337311385,59.79708289441692,99.0,3795.38012695313,-1944595872.50375,35.935,104.022369384766,267689.2878046627,99.0
Monaco,2021,50.171,100.0,9.669536658134575,-0.09214511139042614,23.338708370472432,83.53307692307692,234315.460503547,-55554091.8941294,0.0,26.7441501617432,170848.88626299007,88.0
Moldova,2021,68.846,100.0,20.4480937318425,0.0683518438092937,56.47924533398145,98.0,5230.66173289497,376850000.0,57.002,107.466682434082,5319.159003831446,83.0
Madagascar,2021,64.485,100.0,11.9107343070159,0.7899566300539,18.083421116603176,52.0,500.511031950657,-300416921.607222,60.793,72.07429879279198,21746.4082462917,39.0
Maldives,2021,79.918,1.18310251618643,88.3233340050277,0.0,25.56669097587985,99.0,10366.2933584066,-483500003.252519,58.898,29.2163696289063,24729.883665120113,99.0
Middle East & North Africa,2021,72.7459067417958,77.8758926391602,15.8521659784643,1.41612911322291,62.68514492234863,92.3483434038129,7569.08943696131,257577540.1036148,34.1937064190239,99.6852862006383,3768630.0621528197,87.698504625746
Mexico,2021,70.213,101.75378153889642,7.14229053314906,0.0259427619926972,68.68995489290432,99.0,10045.6805004963,-33513946301.3753,18.984,109.17656033710387,372461.8638115525,99.0
Marshall Islands,2021,65.269,74.79631197971139,31.822217312957,0.0,86.37689814439682,83.0,6172.14506539834,34165600.0,21.838,71.9344329833984,27841.503572572023,85.0
Middle income,2021,70.6101655984376,25.0955932098475,6.79106048355099,0.818758911801728,34.19545941708884,86.4135566861846,6074.0849211156,10177464.387464285,46.2427076482388,94.06196171510305,20104230.24623692,83.998758479681
North Macedonia,2021,74.5368292682927,100.0,25.4993159659288,1.75788110283603,68.48562515193248,93.0,6694.64112581709,-616519845.785685,41.214,72.7102737426758,12641.29720853857,70.0
Mali,2021,58.941,100.0,15.4454920449648,0.291921599230428,20.433184777030533,83.0,873.794862375503,-890143995.995172,55.323,62.41457701907575,16524.256496339105,70.0
Malta,2021,82.8609756097561,100.0,224.865292285091,-40.6455658756403,76.56635334791918,38.834146341463565,33486.671983855,-1147804849.20165,5.19,102.62233091584342,2169.179169749641,90.0
Myanmar,2021,65.672,100.0,9.302657965562112,0.0,20.594206304189242,48.0,1209.92694225482,-1729202847.55695,68.552,105.884178161621,608314.8822210692,44.0
Middle East & North Africa (excluding high income),2021,71.8998757257437,26.8294906616211,12.3051476138601,0.0790617050844502,60.36250321469379,92.0175248155035,3573.16517336392,-1185460.11363172,37.7971388008408,98.39224688550257,3114700.1364424466,86.3465366233148
Montenegro,2021,73.8243902439024,100.0,44.9803943355641,0.182737023227812,71.85406639116218,76.0,9465.70399879557,122536550.745209,32.174,101.114128112793,3032263.8139280626,18.0
Mongolia,2021,70.975,100.0,21.6158946112126,0.741588808548695,56.93669610782467,99.0,4566.14015433014,-2231749578.47373,31.215,96.6451644897461,12876.747910017613,95.0
Northern Mariana Islands,2021,54.631,100.00866547164199,0.6497795562809188,-0.1244774950409635,24.069861977689243,54.64913702293188,0.0,667160804.2327118,8.11,95.7017211914063,31969.670130644692,24.857791102828287
Mozambique,2021,59.325,99.96242326469502,21.4195852563847,1.22793379319275,19.376900845420437,79.0,491.839112773674,-328618475.521271,62.372,53.94023290838618,0.0,84.0
Mauritania,2021,64.364,0.981695294380188,10.5995327089594,0.087369183066453,27.460773032979546,79.0,2166.04679858214,-146322865.627938,43.867,76.6522648490245,23193.867765126808,63.0
Mauritius,2021,73.680243902439,99.63218802538061,23.1004053387612,0.742246655202434,26.062174864273516,95.0,9106.23720230699,171063582.789066,59.225,96.37744140625,3001.0056809458183,77.0
Malawi,2021,62.904,97.4422368180976,8.34170809101053,0.969657734738265,15.571228695675643,89.0,634.835660105302,-228242186.427828,82.305,85.83385755280824,10064.850747092802,90.0
Malaysia,2021,74.884,0.889517615969156,15.1518971449629,3.1527319002767,43.12961132269129,99.0,11109.2618387745,-10028479714.2374,22.304,103.06511769499144,138105.89722918568,96.0
North America,2021,76.9772625183071,100.0,6.21943391498948,2.04577200868655,77.12849968520186,95.1728114955568,68369.6627865258,-269717185.773339,17.2500846671422,88.69641426018626,1281569.7003456652,90.9088286558534
Namibia,2021,59.269,34.91892460561894,12.4163245347348,0.138097311357121,26.87626340383008,99.0,4865.55776470864,-236365856.552235,46.995,109.669059753418,18465.32019704429,90.0
New Caledonia,2021,79.1273414634146,100.04161685746507,26.461239527999965,0.837637804086839,5.982008481214393,75.78629032258073,37159.5467662165,0.0,28.075,63.806773690303544,1521.0837438423187,51.78145161290308
